SA2_MAINCODE_2011,SA2_NAME_2011,SUA_CODE_2011,SUA_NAME_2011,AREA_ALBERS_SQKM
212011290,Koo Wee Rup,2000,Not in any Significant Urban Area (Vic.),409.4348128336
212011291,Pakenham - North,2011,Melbourne,36.7258466153
212011292,Pakenham - South,2011,Melbourne,49.7583748316
212021293,Berwick - North,2011,Melbourne,19.7320449668
212021294,Berwick - South,2011,Melbourne,14.8537496187
212021295,Doveton,2011,Melbourne,5.2068521060
212021296,Endeavour Hills,2011,Melbourne,20.0589263161
212021297,Hallam,2011,Melbourne,8.0554516354
212021298,Narre Warren,2011,Melbourne,14.1770990800
212021299,Narre Warren North,2011,Melbourne,34.3876757332
212031300,Cranbourne,2011,Melbourne,13.0266292989
212031301,Cranbourne East,2011,Melbourne,42.8891954458
212031302,Cranbourne North,2011,Melbourne,10.2395279195
212031303,Cranbourne South,2011,Melbourne,81.6623223589
212031304,Cranbourne West,2011,Melbourne,12.8982088829
212031305,Hampton Park - Lynbrook,2011,Melbourne,13.3358655041
212031306,Lynbrook - Lyndhurst,2011,Melbourne,7.3796106712
212031307,Narre Warren South,2011,Melbourne,13.0031767501
212031308,Pearcedale - Tooradin,2011,Melbourne,98.5111977695
212041309,Clarinda - Oakleigh South,2011,Melbourne,6.3227516331
212041310,Clayton South,2011,Melbourne,7.9385490546
212041311,Dandenong,2011,Melbourne,61.7955843486
212041312,Dandenong North,2011,Melbourne,9.5353551343
212041313,Dingley Village,2011,Melbourne,7.2434844058
212041314,Keysborough,2011,Melbourne,30.2797657546
212041315,Noble Park,2011,Melbourne,8.5614413100
212041316,Noble Park North,2011,Melbourne,3.7578575043
212041317,Springvale,2011,Melbourne,11.1057801324
212041318,Springvale South,2011,Melbourne,4.5598062029
212051319,Ashwood - Chadstone,2011,Melbourne,6.7095463877
212051320,Clayton,2011,Melbourne,9.4112163675
212051321,Glen Waverley - East,2011,Melbourne,9.1638461388
212051322,Glen Waverley - West,2011,Melbourne,7.6756062948
212051323,Mount Waverley - North,2011,Melbourne,6.4841323459
212051324,Mount Waverley - South,2011,Melbourne,8.7007725077
212051325,Mulgrave,2011,Melbourne,10.7220558340
212051326,Oakleigh - Huntingdale,2011,Melbourne,10.1696045575
212051327,Wheelers Hill,2011,Melbourne,10.4508500880
213011328,Ardeer - Albion,2011,Melbourne,4.5882773183
213011329,Cairnlea,2011,Melbourne,4.4049866784
213011330,Deer Park - Derrimut,2011,Melbourne,21.3361403535
213011331,Delahey,2011,Melbourne,3.5055066348
213011332,Keilor Downs,2011,Melbourne,7.6598096390
213011333,Kings Park (Vic.),2011,Melbourne,4.4320475804
213011334,St Albans - North,2011,Melbourne,6.5222709530
